date,ticker,dividend
2023-03-15,CLC,2.99
2023-06-15,CLC,3.02
2023-09-15,CLC,3.0
2023-12-15,CLC,2.66
2024-03-15,CLC,3.26
2024-06-17,CLC,2.99
2024-09-16,CLC,3.49
2024-12-16,CLC,3.26
2025-03-17,CLC,3.16
2025-06-16,CLC,2.69
2025-09-15,CLC,2.74
2025-12-15,CLC,3.36
2021-03-15,SMC,1.21
2021-06-15,SMC,0.98
2021-09-15,SMC,0.95
2021-12-15,SMC,1.0
2022-03-15,SMC,1.01
2022-06-15,SMC,1.15
2022-09-15,SMC,0.97
2022-12-15,SMC,1.1
2023-03-15,SMC,1.07
2023-06-15,SMC,1.03
2023-09-15,SMC,1.12
2023-12-15,SMC,1.34
2024-03-15,SMC,1.31
2024-06-17,SMC,1.25
2024-09-16,SMC,1.22
2024-12-16,SMC,1.15
2025-03-17,SMC,1.45
2025-06-16,SMC,1.44
2025-09-15,SMC,1.38
2025-12-15,SMC,1.46
2021-03-15,VRT,0.45
2021-06-15,VRT,0.45
2021-09-15,VRT,0.41
2021-12-15,VRT,0.49
2022-03-15,VRT,0.47
2022-06-15,VRT,0.59
2022-09-15,VRT,0.57
2022-12-15,VRT,0.57
2023-03-15,VRT,0.61
2023-06-15,VRT,0.54
2023-09-15,VRT,0.57
2023-12-15,VRT,0.5
2024-03-15,VRT,0.58
2024-06-17,VRT,0.66
2024-09-16,VRT,0.87
2024-12-16,VRT,0.98
2025-03-17,VRT,1.2
2025-06-16,VRT,1.42
2025-09-15,VRT,1.55
2025-12-15,VRT,1.71
2021-03-15,PNC,0.37
2021-06-15,PNC,0.41
2021-09-15,PNC,0.39
2021-12-15,PNC,0.41
2022-03-15,PNC,0.49
2022-06-15,PNC,0.61
2022-09-15,PNC,0.66
2022-12-15,PNC,0.69
2023-03-15,PNC,0.58
2023-06-15,PNC,0.54
2023-09-15,PNC,0.58
2023-12-15,PNC,0.53
2024-03-15,PNC,0.64
2024-06-17,PNC,0.7
2024-09-16,PNC,0.67
2024-12-16,PNC,0.88
2025-03-17,PNC,1.0
2025-06-16,PNC,1.1
2025-09-15,PNC,1.08
2025-12-15,PNC,1.35
2021-03-15,UFG,0.37
2021-06-15,UFG,0.36
2021-09-15,UFG,0.36
2021-12-15,UFG,0.36
2022-03-15,UFG,0.33
2022-06-15,UFG,0.35
2022-09-15,UFG,0.35
2022-12-15,UFG,0.34
2023-03-15,UFG,0.37
2023-06-15,UFG,0.4
2023-09-15,UFG,0.37
2023-12-15,UFG,0.48
2024-03-15,UFG,0.54
2024-06-17,UFG,0.51
2024-09-16,UFG,0.64
2024-12-16,UFG,0.72
2025-03-17,UFG,0.73
2025-06-16,UFG,0.71
2025-09-15,UFG,0.72
2025-12-15,UFG,0.72
2021-03-15,NCB,0.32
2021-06-15,NCB,0.32
2021-09-15,NCB,0.34
2021-12-15,NCB,0.38
2022-03-15,NCB,0.46
2022-06-15,NCB,0.53
2022-09-15,NCB,0.5
2022-12-15,NCB,0.58
2023-03-15,NCB,0.57
2023-06-15,NCB,0.58
2023-09-15,NCB,0.56
2023-12-15,NCB,0.57
2024-03-15,NCB,0.68
2024-06-17,NCB,0.75
2024-09-16,NCB,0.81
2024-12-16,NCB,0.94
2025-03-17,NCB,1.06
2025-06-16,NCB,1.04
2025-09-15,NCB,1.07
2025-12-15,NCB,1.15
2021-03-15,HBR,0.3
2021-06-15,HBR,0.26
2021-09-15,HBR,0.28
2021-12-15,HBR,0.26
2022-03-15,HBR,0.29
2022-06-15,HBR,0.34
2022-09-15,HBR,0.33
2022-12-15,HBR,0.34
2023-03-15,HBR,0.32
2023-06-15,HBR,0.32
2023-09-15,HBR,0.28
2023-12-15,HBR,0.26
2024-03-15,HBR,0.27
2024-06-17,HBR,0.26
2024-09-16,HBR,0.25
2024-12-16,HBR,0.28
2025-03-17,HBR,0.33
2025-06-16,HBR,0.31
2025-09-15,HBR,0.3
2025-12-15,HBR,0.32
2021-03-15,STG,0.71
2021-06-15,STG,0.54
2021-09-15,STG,0.54
2021-12-15,STG,0.54
2022-03-15,STG,0.6
2022-06-15,STG,0.62
2022-09-15,STG,0.72
2022-12-15,STG,0.83
2023-03-15,STG,0.72
2023-06-15,STG,0.69
2023-09-15,STG,0.71
2023-12-15,STG,0.73
2024-03-15,STG,0.95
2024-06-17,STG,0.85
2024-09-16,STG,0.83
2024-12-16,STG,0.94
2025-03-17,STG,1.02
2025-06-16,STG,0.94
2025-09-15,STG,0.69
2025-12-15,STG,0.79
2021-03-15,CNL,0.48
2021-06-15,CNL,0.54
2021-09-15,CNL,0.57
2021-12-15,CNL,0.6
2022-03-15,CNL,0.85
2022-06-15,CNL,1.03
2022-09-15,CNL,0.99
2022-12-15,CNL,1.02
2023-03-15,CNL,1.13
2023-06-15,CNL,1.11
2023-09-15,CNL,1.02
2023-12-15,CNL,1.03
2024-03-15,CNL,1.28
2024-06-17,CNL,1.42
2024-09-16,CNL,1.43
2024-12-16,CNL,1.44
2025-03-17,CNL,1.51
2025-06-16,CNL,1.46
2025-09-15,CNL,1.36
2025-12-15,CNL,1.42
2021-03-15,DMW,0.16
2021-06-15,DMW,0.13
2021-09-15,DMW,0.13
2021-12-15,DMW,0.15
2022-03-15,DMW,0.18
2022-06-15,DMW,0.22
2022-09-15,DMW,0.17
2022-12-15,DMW,0.15
2023-03-15,DMW,0.13
2023-06-15,DMW,0.14
2023-09-15,DMW,0.14
2023-12-15,DMW,0.15
2024-03-15,DMW,0.14
2024-06-17,DMW,0.15
2024-09-16,DMW,0.17
2024-12-16,DMW,0.15
2025-03-17,DMW,0.14
2025-06-16,DMW,0.16
2025-09-15,DMW,0.18
2025-12-15,DMW,0.22
2021-03-15,MDS,0.55
2021-06-15,MDS,0.52
2021-09-15,MDS,0.6
2021-12-15,MDS,0.64
2022-03-15,MDS,0.65
2022-06-15,MDS,0.66
2022-09-15,MDS,0.74
2022-12-15,MDS,0.77
2023-03-15,MDS,0.85
2023-06-15,MDS,0.81
2023-09-15,MDS,0.87
2023-12-15,MDS,0.78
2024-03-15,MDS,0.86
2024-06-17,MDS,0.89
2024-09-16,MDS,0.83
2024-12-16,MDS,0.89
2025-03-17,MDS,0.99
2025-06-16,MDS,0.93
2025-09-15,MDS,1.02
2025-12-15,MDS,1.14
2021-03-15,BLM,0.44
2021-06-15,BLM,0.42
2021-09-15,BLM,0.44
2021-12-15,BLM,0.43
2022-03-15,BLM,0.45
2022-06-15,BLM,0.49
2022-09-15,BLM,0.53
2022-12-15,BLM,0.56
2023-03-15,BLM,0.68
2023-06-15,BLM,0.58
2023-09-15,BLM,0.58
2023-12-15,BLM,0.61
2024-03-15,BLM,0.63
2024-06-17,BLM,0.65
2024-09-16,BLM,0.62
2024-12-16,BLM,0.66
2025-03-17,BLM,0.68
2025-06-16,BLM,0.73
2025-09-15,BLM,0.65
2025-12-15,BLM,0.68
2021-03-15,PHR,0.35
2021-06-15,PHR,0.38
2021-09-15,PHR,0.34
2021-12-15,PHR,0.34
2022-03-15,PHR,0.39
2022-06-15,PHR,0.43
2022-09-15,PHR,0.42
2022-12-15,PHR,0.42
2023-03-15,PHR,0.45
2023-06-15,PHR,0.5
2023-09-15,PHR,0.58
2023-12-15,PHR,0.54
2024-03-15,PHR,0.53
2024-06-17,PHR,0.58
2024-09-16,PHR,0.59
2024-12-16,PHR,0.7
2025-03-17,PHR,0.86
2025-06-16,PHR,1.05
2025-09-15,PHR,1.06
2025-12-15,PHR,1.11
2021-03-15,RTA,0.6
2021-06-15,RTA,0.57
2021-09-15,RTA,0.51
2021-12-15,RTA,0.5
2022-03-15,RTA,0.48
2022-06-15,RTA,0.53
2022-09-15,RTA,0.49
2022-12-15,RTA,0.47
2023-03-15,RTA,0.5
2023-06-15,RTA,0.5
2023-09-15,RTA,0.47
2023-12-15,RTA,0.49
2024-03-15,RTA,0.46
2024-06-17,RTA,0.43
2024-09-16,RTA,0.41
2024-12-16,RTA,0.43
2025-03-17,RTA,0.49
2025-06-16,RTA,0.59
2025-09-15,RTA,0.53
2025-12-15,RTA,0.62
2021-03-15,MTR,0.56
2021-06-15,MTR,0.49
2021-09-15,MTR,0.46
2021-12-15,MTR,0.47
2022-03-15,MTR,0.45
2022-06-15,MTR,0.5
2022-09-15,MTR,0.48
2022-12-15,MTR,0.48
2023-03-15,MTR,0.6
2023-06-15,MTR,0.52
2023-09-15,MTR,0.51
2023-12-15,MTR,0.5
2024-03-15,MTR,0.45
2024-06-17,MTR,0.4
2024-09-16,MTR,0.41
2024-12-16,MTR,0.46
2025-03-17,MTR,0.54
2025-06-16,MTR,0.62
2025-09-15,MTR,0.51
2025-12-15,MTR,0.42
2021-03-15,LUX,0.2
2021-06-15,LUX,0.19
2021-09-15,LUX,0.18
2021-12-15,LUX,0.19
2022-03-15,LUX,0.21
2022-06-15,LUX,0.25
2022-09-15,LUX,0.22
2022-12-15,LUX,0.21
2023-03-15,LUX,0.23
2023-06-15,LUX,0.18
2023-09-15,LUX,0.17
2023-12-15,LUX,0.17
2024-03-15,LUX,0.15
2024-06-17,LUX,0.12
2024-09-16,LUX,0.12
2024-12-16,LUX,0.12
2025-03-17,LUX,0.14
2025-06-16,LUX,0.19
2025-09-15,LUX,0.16
2025-12-15,LUX,0.19
2021-03-15,GEC,0.4
2021-06-15,GEC,0.36
2021-09-15,GEC,0.38
2021-12-15,GEC,0.4
2022-03-15,GEC,0.47
2022-06-15,GEC,0.53
2022-09-15,GEC,0.52
2022-12-15,GEC,0.59
2023-03-15,GEC,0.62
2023-06-15,GEC,0.63
2023-09-15,GEC,0.63
2023-12-15,GEC,0.6
2024-03-15,GEC,0.58
2024-06-17,GEC,0.63
2024-09-16,GEC,0.71
2024-12-16,GEC,0.66
2025-03-17,GEC,0.64
2025-06-16,GEC,0.58
2025-09-15,GEC,0.53
2025-12-15,GEC,0.47
2021-03-15,ATL,0.39
2021-06-15,ATL,0.41
2021-09-15,ATL,0.36
2021-12-15,ATL,0.32
2022-03-15,ATL,0.35
2022-06-15,ATL,0.36
2022-09-15,ATL,0.33
2022-12-15,ATL,0.32
2023-03-15,ATL,0.32
2023-06-15,ATL,0.29
2023-09-15,ATL,0.27
2023-12-15,ATL,0.27
2024-03-15,ATL,0.27
2024-06-17,ATL,0.28
2024-09-16,ATL,0.3
2024-12-16,ATL,0.29
2025-03-17,ATL,0.3
2025-06-16,ATL,0.34
2025-09-15,ATL,0.35
2025-12-15,ATL,0.41
2021-03-15,MFG,0.29
2021-06-15,MFG,0.25
2021-09-15,MFG,0.22
2021-12-15,MFG,0.2
2022-03-15,MFG,0.23
2022-06-15,MFG,0.3
2022-09-15,MFG,0.31
2022-12-15,MFG,0.32
2023-03-15,MFG,0.36
2023-06-15,MFG,0.38
2023-09-15,MFG,0.4
2023-12-15,MFG,0.41
2024-03-15,MFG,0.38
2024-06-17,MFG,0.35
2024-09-16,MFG,0.38
2024-12-16,MFG,0.41
2025-03-17,MFG,0.46
2025-06-16,MFG,0.5
2025-09-15,MFG,0.48
2025-12-15,MFG,0.49
2021-03-15,RNL,0.3
2021-06-15,RNL,0.29
2021-09-15,RNL,0.35
2021-12-15,RNL,0.4
2022-03-15,RNL,0.4
2022-06-15,RNL,0.45
2022-09-15,RNL,0.42
2022-12-15,RNL,0.4
2023-03-15,RNL,0.46
2023-06-15,RNL,0.47
2023-09-15,RNL,0.54
2023-12-15,RNL,0.6
2024-03-15,RNL,0.48
2024-06-17,RNL,0.59
2024-09-16,RNL,0.58
2024-12-16,RNL,0.78
2025-03-17,RNL,0.91
2025-06-16,RNL,0.95
2025-09-15,RNL,0.79
2025-12-15,RNL,0.75
2021-03-15,GFD,0.39
2021-06-15,GFD,0.35
2021-09-15,GFD,0.37
2021-12-15,GFD,0.32
2022-03-15,GFD,0.35
2022-06-15,GFD,0.34
2022-09-15,GFD,0.33
2022-12-15,GFD,0.37
2023-03-15,GFD,0.38
2023-06-15,GFD,0.37
2023-09-15,GFD,0.36
2023-12-15,GFD,0.34
2024-03-15,GFD,0.35
2024-06-17,GFD,0.35
2024-09-16,GFD,0.35
2024-12-16,GFD,0.37
2025-03-17,GFD,0.38
2025-06-16,GFD,0.41
2025-09-15,GFD,0.38
2025-12-15,GFD,0.37
2021-03-15,HGP,0.16
2021-06-15,HGP,0.16
2021-09-15,HGP,0.16
2021-12-15,HGP,0.16
2022-03-15,HGP,0.18
2022-06-15,HGP,0.2
2022-09-15,HGP,0.19
2022-12-15,HGP,0.19
2023-03-15,HGP,0.17
2023-06-15,HGP,0.18
2023-09-15,HGP,0.16
2023-12-15,HGP,0.17
2024-03-15,HGP,0.15
2024-06-17,HGP,0.15
2024-09-16,HGP,0.16
2024-12-16,HGP,0.17
2025-03-17,HGP,0.16
2025-06-16,HGP,0.18
2025-09-15,HGP,0.16
2025-12-15,HGP,0.15
2021-03-15,PEO,0.24
2021-06-15,PEO,0.22
2021-09-15,PEO,0.23
2021-12-15,PEO,0.27
2022-03-15,PEO,0.24
2022-06-15,PEO,0.21
2022-09-15,PEO,0.2
2022-12-15,PEO,0.2
2023-03-15,PEO,0.19
2023-06-15,PEO,0.21
2023-09-15,PEO,0.21
2023-12-15,PEO,0.2
2024-03-15,PEO,0.23
2024-06-17,PEO,0.16
2024-09-16,PEO,0.17
2024-12-16,PEO,0.16
2025-03-17,PEO,0.16
2025-06-16,PEO,0.16
2025-09-15,PEO,0.14
2025-12-15,PEO,0.2
2021-03-15,SOL,0.17
2021-06-15,SOL,0.14
2021-09-15,SOL,0.15
2021-12-15,SOL,0.15
2022-03-15,SOL,0.13
2022-06-15,SOL,0.14
2022-09-15,SOL,0.12
2022-12-15,SOL,0.14
2023-03-15,SOL,0.12
2023-06-15,SOL,0.11
2023-09-15,SOL,0.11
2023-12-15,SOL,0.1
2024-03-15,SOL,0.13
2024-06-17,SOL,0.15
2024-09-16,SOL,0.17
2024-12-16,SOL,0.19
2025-03-17,SOL,0.19
2025-06-16,SOL,0.24
2025-09-15,SOL,0.21
2025-12-15,SOL,0.17
2021-03-15,UTL,0.21
2021-06-15,UTL,0.2
2021-09-15,UTL,0.21
2021-12-15,UTL,0.19
2022-03-15,UTL,0.2
2022-06-15,UTL,0.22
2022-09-15,UTL,0.22
2022-12-15,UTL,0.24
2023-03-15,UTL,0.24
2023-06-15,UTL,0.24
2023-09-15,UTL,0.23
2023-12-15,UTL,0.24
2024-03-15,UTL,0.24
2024-06-17,UTL,0.26
2024-09-16,UTL,0.26
2024-12-16,UTL,0.24
2025-03-17,UTL,0.26
2025-06-16,UTL,0.3
2025-09-15,UTL,0.26
2025-12-15,UTL,0.29
2021-03-15,AMT,0.31
2021-06-15,AMT,0.28
2021-09-15,AMT,0.3
2021-12-15,AMT,0.29
2022-03-15,AMT,0.36
2022-06-15,AMT,0.45
2022-09-15,AMT,0.48
2022-12-15,AMT,0.54
2023-03-15,AMT,0.55
2023-06-15,AMT,0.53
2023-09-15,AMT,0.63
2023-12-15,AMT,0.76
2024-03-15,AMT,0.69
2024-06-17,AMT,0.63
2024-09-16,AMT,0.72
2024-12-16,AMT,0.67
2025-03-17,AMT,0.81
2025-06-16,AMT,0.9
2025-09-15,AMT,0.72
2025-12-15,AMT,0.69
2021-03-15,PRP,0.23
2021-06-15,PRP,0.24
2021-09-15,PRP,0.24
2021-12-15,PRP,0.24
2022-03-15,PRP,0.28
2022-06-15,PRP,0.3
2022-09-15,PRP,0.27
2022-12-15,PRP,0.24
2023-03-15,PRP,0.24
2023-06-15,PRP,0.2
2023-09-15,PRP,0.21
2023-12-15,PRP,0.21
2024-03-15,PRP,0.18
2024-06-17,PRP,0.17
2024-09-16,PRP,0.19
2024-12-16,PRP,0.2
2025-03-17,PRP,0.22
2025-06-16,PRP,0.21
2025-09-15,PRP,0.17
2025-12-15,PRP,0.16
